 #calculated the component:  1  2  3
 #tolerence:    2.000000E-03
 #broadening:    2.000000E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    4.062113E+01eV    1.492799E+00Ha
 # Energy      Tot-Im Chi(-2w,w,w)  Tot-Im Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units
 #
       0.008163   9.255199E-01   3.876809E+01
       0.016327   9.310604E-01   3.900017E+01
       0.024490   9.366639E-01   3.923489E+01
       0.032654   9.423317E-01   3.947230E+01
       0.040817   9.480648E-01   3.971245E+01
       0.048980   9.538644E-01   3.995538E+01
       0.057144   9.597317E-01   4.020115E+01
       0.065307   9.656678E-01   4.044980E+01
       0.073471   9.716741E-01   4.070139E+01
       0.081634   9.777517E-01   4.095597E+01
       0.089798   9.839021E-01   4.121359E+01
       0.097961   9.901264E-01   4.147432E+01
       0.106124   9.964262E-01   4.173820E+01
       0.114288   1.002803E+00   4.200531E+01
       0.122451   1.009258E+00   4.227569E+01
       0.130615   1.015792E+00   4.254941E+01
       0.138778   1.022408E+00   4.282654E+01
       0.146941   1.029107E+00   4.310713E+01
       0.155105   1.035890E+00   4.339127E+01
       0.163268   1.042760E+00   4.367901E+01
       0.171432   1.049717E+00   4.397043E+01
       0.179595   1.056763E+00   4.426560E+01
       0.187759   1.063901E+00   4.456460E+01
       0.195922   1.071133E+00   4.486751E+01
       0.204085   1.078459E+00   4.517440E+01
       0.212249   1.085883E+00   4.548536E+01
       0.220412   1.093406E+00   4.580047E+01
       0.228576   1.101030E+00   4.611982E+01
       0.236739   1.108757E+00   4.644350E+01
       0.244902   1.116590E+00   4.677160E+01
       0.253066   1.124531E+00   4.710423E+01
       0.261229   1.132582E+00   4.744147E+01
       0.269393   1.140745E+00   4.778343E+01
       0.277556   1.149024E+00   4.813021E+01
       0.285720   1.157421E+00   4.848193E+01
       0.293883   1.165938E+00   4.883869E+01
       0.302046   1.174578E+00   4.920062E+01
       0.310210   1.183345E+00   4.956783E+01
       0.318373   1.192240E+00   4.994044E+01
       0.326537   1.201268E+00   5.031860E+01
       0.334700   1.210431E+00   5.070242E+01
       0.342863   1.219733E+00   5.109204E+01
       0.351027   1.229176E+00   5.148762E+01
       0.359190   1.238766E+00   5.188930E+01
       0.367354   1.248504E+00   5.229722E+01
       0.375517   1.258396E+00   5.271156E+01
       0.383681   1.268445E+00   5.313248E+01
       0.391844   1.278654E+00   5.356015E+01
       0.400007   1.289030E+00   5.399475E+01
       0.408171   1.299575E+00   5.443647E+01
       0.416334   1.310295E+00   5.488550E+01
       0.424498   1.321194E+00   5.534205E+01
       0.432661   1.332278E+00   5.580632E+01
       0.440824   1.343551E+00   5.627853E+01
       0.448988   1.355020E+00   5.675893E+01
       0.457151   1.366689E+00   5.724774E+01
       0.465315   1.378566E+00   5.774522E+01
       0.473478   1.390655E+00   5.825163E+01
       0.481641   1.402965E+00   5.876726E+01
       0.489805   1.415501E+00   5.929238E+01
       0.497968   1.428272E+00   5.982730E+01
       0.506132   1.441283E+00   6.037234E+01
       0.514295   1.454545E+00   6.092784E+01
       0.522459   1.468065E+00   6.149414E+01
       0.530622   1.481851E+00   6.207163E+01
       0.538785   1.495914E+00   6.266069E+01
       0.546949   1.510263E+00   6.326174E+01
       0.555112   1.524908E+00   6.387521E+01
       0.563276   1.539861E+00   6.450156E+01
       0.571439   1.555134E+00   6.514130E+01
       0.579602   1.570738E+00   6.579494E+01
       0.587766   1.586688E+00   6.646303E+01
       0.595929   1.602996E+00   6.714615E+01
       0.604093   1.619679E+00   6.784495E+01
       0.612256   1.636751E+00   6.856008E+01
       0.620420   1.654231E+00   6.929226E+01
       0.628583   1.672135E+00   7.004225E+01
       0.636746   1.690485E+00   7.081086E+01
       0.644910   1.709299E+00   7.159896E+01
       0.653073   1.728601E+00   7.240749E+01
       0.661237   1.748415E+00   7.323744E+01
       0.669400   1.768766E+00   7.408989E+01
       0.677563   1.789680E+00   7.496596E+01
       0.685727   1.811188E+00   7.586687E+01
       0.693890   1.833319E+00   7.679390E+01
       0.702054   1.856106E+00   7.774840E+01
       0.710217   1.879582E+00   7.873176E+01
       0.718381   1.903781E+00   7.974539E+01
