 #calculated the component:  1  2  3
 #tolerence:    2.000000E-03
 #broadening:    2.000000E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    4.062113E+01eV    1.492799E+00Ha
 # Energy      Tot-Im Chi(-2w,w,w)  Tot-Im Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units
 #
       0.008163   3.683438E-02   1.542915E+00
       0.016327   3.725412E-02   1.560497E+00
       0.024490   3.768116E-02   1.578385E+00
       0.032654   3.811571E-02   1.596587E+00
       0.040817   3.855793E-02   1.615111E+00
       0.048980   3.900802E-02   1.633964E+00
       0.057144   3.946618E-02   1.653155E+00
       0.065307   3.993261E-02   1.672693E+00
       0.073471   4.040754E-02   1.692587E+00
       0.081634   4.089116E-02   1.712845E+00
       0.089798   4.138372E-02   1.733477E+00
       0.097961   4.188544E-02   1.754493E+00
       0.106124   4.239658E-02   1.775904E+00
       0.114288   4.291738E-02   1.797719E+00
       0.122451   4.344810E-02   1.819950E+00
       0.130615   4.398902E-02   1.842608E+00
       0.138778   4.454041E-02   1.865704E+00
       0.146941   4.510257E-02   1.889252E+00
       0.155105   4.567580E-02   1.913264E+00
       0.163268   4.626042E-02   1.937752E+00
       0.171432   4.685675E-02   1.962731E+00
       0.179595   4.746513E-02   1.988215E+00
       0.187759   4.808592E-02   2.014218E+00
       0.195922   4.871948E-02   2.040757E+00
       0.204085   4.936619E-02   2.067846E+00
       0.212249   5.002646E-02   2.095503E+00
       0.220412   5.070069E-02   2.123746E+00
       0.228576   5.138933E-02   2.152591E+00
       0.236739   5.209282E-02   2.182059E+00
       0.244902   5.281164E-02   2.212169E+00
       0.253066   5.354627E-02   2.242941E+00
       0.261229   5.429723E-02   2.274397E+00
       0.269393   5.506506E-02   2.306560E+00
       0.277556   5.585032E-02   2.339453E+00
       0.285720   5.665360E-02   2.373100E+00
       0.293883   5.747552E-02   2.407529E+00
       0.302046   5.831671E-02   2.442765E+00
       0.310210   5.917787E-02   2.478837E+00
       0.318373   6.005970E-02   2.515775E+00
       0.326537   6.096295E-02   2.553610E+00
       0.334700   6.188841E-02   2.592376E+00
       0.342863   6.283690E-02   2.632106E+00
       0.351027   6.380929E-02   2.672837E+00
       0.359190   6.480651E-02   2.714609E+00
       0.367354   6.582951E-02   2.757460E+00
       0.375517   6.687933E-02   2.801435E+00
       0.383681   6.795705E-02   2.846578E+00
       0.391844   6.906381E-02   2.892938E+00
       0.400007   7.020081E-02   2.940565E+00
       0.408171   7.136935E-02   2.989512E+00
       0.416334   7.257079E-02   3.039838E+00
       0.424498   7.380658E-02   3.091603E+00
       0.432661   7.507825E-02   3.144870E+00
       0.440824   7.638746E-02   3.199710E+00
       0.448988   7.773594E-02   3.256196E+00
       0.457151   7.912558E-02   3.314405E+00
       0.465315   8.055838E-02   3.374421E+00
       0.473478   8.203647E-02   3.436336E+00
       0.481641   8.356217E-02   3.500244E+00
       0.489805   8.513794E-02   3.566250E+00
       0.497968   8.676645E-02   3.634465E+00
       0.506132   8.845057E-02   3.705009E+00
       0.514295   9.019340E-02   3.778012E+00
       0.522459   9.199831E-02   3.853616E+00
       0.530622   9.386895E-02   3.931973E+00
       0.538785   9.580927E-02   4.013249E+00
       0.546949   9.782360E-02   4.097625E+00
       0.555112   9.991666E-02   4.185299E+00
       0.563276   1.020936E-01   4.276488E+00
       0.571439   1.043602E-01   4.371429E+00
       0.579602   1.067226E-01   4.470386E+00
       0.587766   1.091878E-01   4.573646E+00
       0.595929   1.117634E-01   4.681533E+00
       0.604093   1.144579E-01   4.794402E+00
       0.612256   1.172809E-01   4.912651E+00
       0.620420   1.202430E-01   5.036729E+00
       0.628583   1.233563E-01   5.167135E+00
       0.636746   1.266341E-01   5.304438E+00
       0.644910   1.300920E-01   5.449281E+00
       0.653073   1.337474E-01   5.602396E+00
       0.661237   1.376203E-01   5.764624E+00
       0.669400   1.417338E-01   5.936932E+00
       0.677563   1.461147E-01   6.120440E+00
       0.685727   1.507941E-01   6.316450E+00
       0.693890   1.558085E-01   6.526491E+00
       0.702054   1.612007E-01   6.752360E+00
       0.710217   1.670217E-01   6.996187E+00
       0.718381   1.733320E-01   7.260512E+00
       0.726544   1.802042E-01   7.548376E+00
       0.734707   1.877257E-01   7.863435E+00
       0.742871   1.960017E-01   8.210099E+00
       0.751034   2.051591E-01   8.593683E+00
       0.759198   2.153501E-01   9.020565E+00
       0.767361   2.267554E-01   9.498307E+00
       0.775524   2.395834E-01   1.003565E+01
       0.783688   2.540642E-01   1.064221E+01
